,country_code,country_name,year,child_employment_rate,log_child_employment_rate,log_gdp_per_capita_ppp,agriculture_value_added_pct,primary_school_enrollment,life_expectancy,urban_population_pct,rural_electricity_access,child_population_pct,youth_unemployment_rate,log_private_consumption_per_capita,governance_index
120,IRN,"Iran, Islamic Republic of",2012,0.46816609347730953,0.3840140664878867,9.56124726614723,6.79693716710654,107.180732727051,75.039,71.755,98.4,23.2783168730676,26.894,7.928403945226416,-0.32360443042305587
121,IRN,"Iran, Islamic Republic of",2013,0.31587079098380105,0.27449864493983683,9.532843442314121,8.774909772760259,120.710372924805,75.349,72.295,99.4,23.3021591559915,23.872,7.905334923055925,-0.40294077753915647
122,IRN,"Iran, Islamic Republic of",2014,0.26198057526814467,0.23268237197849065,9.568054799573185,9.37842415684426,111.849983215332,75.635,72.83,100.0,23.4123786500549,24.972,7.898493157964177,-0.2185814241761312
123,IRN,"Iran, Islamic Republic of",2015,0.22017593809051145,0.1989950598972788,9.540089495984835,10.091601414112562,109.025131225586,75.907,73.358,99.8,23.5910518166432,25.962,7.881117622292663,-0.016600295572538643
124,IRN,"Iran, Islamic Republic of",2016,0.2689889785103257,0.23822050351748597,9.610229571621716,9.784420380706123,107.907333374023,76.155,73.88,99.8,23.7667032309414,29.087,7.908983437736395,0.0899246705482511
125,IRN,"Iran, Islamic Republic of",2019,0.3132000737845214,0.2724669628321109,9.54978423559477,13.324869174343284,106.081970214844,76.855,75.391,100.0,23.9130747065987,25.948,7.819644197669513,-0.4657528416105855
126,IRN,"Iran, Islamic Republic of",2020,0.2618444466863246,0.2325744971608881,9.574855253077022,12.212998105241022,104.484008789062,74.141,75.874,100.0,23.7741603461688,23.712,7.8173715761276465,-0.8660035576345128
127,IRN,"Iran, Islamic Republic of",2021,0.23777800487922687,0.21331784063804016,9.612660196973316,12.393095995254342,,73.752,76.345,100.0,23.5503936372517,23.752,7.847383821628042,-0.8378298828628248
128,IRN,"Iran, Islamic Republic of",2022,0.25649106504883384,0.22832296699240956,9.637719141633957,12.765315121686596,,76.799,76.807,100.0,23.2212381703766,22.7,7.918576088691075,-0.8798170673327793
129,IRN,"Iran, Islamic Republic of",2023,0.2529437865004442,0.22549581177941388,9.674893541329551,12.835764473318443,,77.654,77.257,100.0,22.838783032187,22.637,7.94694679286252,-1.0870541688881086
130,JAM,Jamaica,2016,4.692734295797644,1.7391906767908254,9.199031809801617,6.598787603458312,94.3311004638672,72.052,55.098,93.0,22.8352637001475,24.661,8.316317581905155,1.360158598119746
